,시설명,"시(특별,광역)/도",시/군/구,도로명,위도,경도,정원,현원
0,강남드림빌,서울특별시,강남구,양재대로344-27,37.5177,127.0473,58,50
1,강동꿈마을,서울,강동구,천호대로186길 21,37.5324645,127.1431736,70,55
2,구세군서울후생원,서울특별시,서대문구,독립문로8길 41,37.5685428,126.9601082,60,55
3,그레이스빌,충청남도,아산시,배방읍 갈매길 159-4,36.77041835,127.0750692,58,46
4,남산원,서울특별시,중구,소파로2길 31,37.5574448,126.9878648,60,40
5,동명아동복지센터,서울특별시,관악구,봉천로23라길 15,37.4881123,126.9364715,54,54
6,데레사의집,서울특별시,은평구,응암로21길 11-20,37.5939497,126.916328,20,10
7,리라아동복지관,경기도,안성시,원곡면 용소길,37.0397352,127.1295178,50,31
8,명진들꽃사랑마을,서울특별시,강동구,구천면로 68나길 10-1,37.5507178,127.1399413,90,63
9,삼동보이스타운,서울특별시,마포구,가양대로 124,37.5731811,126.8638161,40,52
10,상록보육원,서울특별시,관악구,남현길 63,37.4734876,126.975907,72,62
11,서울SOS어린이마을,서울특별시,양천구,가로공원로 58길 46,37.5370296,126.8335991,100,47
12,서울성로원,서울특별시,동작구,만양로60,37.5120999,126.9395,54,43
13,서울특별시꿈나무마을 파란꿈터,서울특별시,은평구,백련산로 14길 20-11,37.5938975,126.9231165,85,58
14,서울특별시꿈나무마을 초록꿈터,서울특별시,은평구,백련산로 14길 20-11,37.5938975,126.9231165,85,64
15,서울특별시꿈나무마을 연두꿈터,서울특별시,은평구,백련산로 14길 20-11,37.5938975,126.9231165,50,34
16,선덕원,서울특별시,종로구,세검정로7가길 15-1,37.5806949,126.9827989,51,40
17,성남보육원,충청남도,서산시,쌍연북3길 33,36.78769825,126.4681333,60,57
18,성모자애드림힐,서울특별시,노원구,덕릉로 70가길 45,37.6673594,127.0788445,85,73
19,성심원,경기도,용인시,수지구 고기로45번길 40-11,37.3415486,127.0906516,52,51
20,성애원,경기도,이천시,구만리로314,37.28683565,127.4951164,60,54
21,송죽원,서울특별시,서대문구,송죽길23,37.5790747,126.9367861,54,40
22,시온원,서울특별시,동작구,상도로 39길 48,37.5048448,126.9399244,35,30
23,신망원,경기도,양평군,신원1길 142번길 60,37.53501199,127.3862839,50,33
24,신명아이마루,경기도,화성시,기배로 43번길 26,37.22374546,126.9798167,51,49
25,애향아동복지원,경상북도,김천시,어모면 용문산길 551-25,36.19534,128.1067,70,46
26,에델마을,서울특별시,구로구,천왕로47,37.4951999,126.8877,42,39
27,영락보린원,서울특별시,용산구,후암로4길 70,37.547401,126.9799075,66,51
28,오류마을,서울특별시,구로구,오류로8길 84,37.4921919,126.8434183,54,48
